3,85,"An entry in a thesaurus or dictionary that is associated with a theme",,,"GEMET Environmental Thesaurus Relation Types;GEMET"
4,85,"A term that has a more comprehensive or more general semantic scope than an other.","linguistics",,"GEMET Environmental Thesaurus Relation Types;GEMET"
5,85,"An entry in a thesaurus that has a smaller semantic scope than the headword itself.",,,"GEMET Environmental Thesaurus Relation Types;GEMET"
6,85,"Term or concept that has a direct or indirect relationship with the article concerned.",,,"GEMET Environmental Thesaurus Relation Types;GEMET"
7,85,"Site that cannot be used for any purpose, being contaminated by pollutants.",,,"GEMET"
8,85,"A vehicle that has been discarded in the environment, urban or otherwise, often found wrecked, destroyed, damaged or with a major component part stolen or missing.",,,"GEMET"
9,85,"Physical, chemical and other non-living environmental factor.",,,"GEMET"
10,85,"The taking in of fluids or other substances by cells or tissues.",,,"GEMET"
13,85,"Any street or narrow stretch of paved surface that leads to a specific destination, such as a main highway.",,,"GEMET"
15,85,"The ability to bring goods to and from a port that is able to harbor sea faring vessels.",,,"GEMET"
16,85,"An unexpected, unfortunate mishap, failure or loss with the potential for harming human life, property or the environment.",,,"GEMET"
20,85,"A rechargeable device for storing electrical energy in the form of chemical energy, consisting of one or more separate secondary cells.\n(Source: CED)",,,"GEMET"
22,85,"Addition of an acid to a solution until the pH falls below 7.",,,"GEMET"
23,85,"The state of being acid that is of being capable of transferring a hydrogen ion in solution.",,,"GEMET"
24,85,"The amount of acid present in a solution, often expressed in terms of pH.",,,"GEMET"
25,85,"Rain having a pH less than 5.6.",,,"GEMET"
26,85,"A compound capable of transferring a hydrogen ion in solution.",,,"GEMET;OLPC Children's Dictionary;Mapping;General Dictionary"
27,85,"A device employed to reject sound in a particular range of frequencies while passing sound in another range of frequencies.",,,"GEMET"
28,85,"The process of preventing the transmission of sound by surrounding with a nonconducting material.",,,"GEMET"
29,85,"Physical quantity of sound measured, usually expressed in decibels.\n(Source: KORENa)",,,"GEMET"
30,85,"The characteristics found within a structure that determine the quality of sound in its relevance to hearing.\n(Source: KOREN)",,,"GEMET"
31,85,"The science of the production, transmission and effects of sound.",,"science","GEMET;Mapping"
32,85,"A group of 15 radioactive elements some of which occur naturally while others are produced in nuclear reactions. They include plutonium, americium and neptunium. The health hazard presented by the actinides, if they are released into the environment, comes from the potency of their radioactive characteristics. They are alpha-emitters, and therefore can cause intense localized damage in tissues if absorbed into the body.\n(Source: WRIGHT)",,,"GEMET;Mapping"
33,85,"A radioactive element of the actinide series, occurring as a decay product of uranium. It is used as an alpha particle source and in neutron production.\n(Source: CED)",,"chemical element","GEMET;Mapping"
34,85,"A collection of persons united to address specific sociopolitical or socioeconomic concerns.",,,"GEMET"
35,85,"A powdered, granular or pelleted form of amorphous carbon characterized by a very large surface area per unit volume because of an enormous number of fine pores.\n(Source: LANDY)",,,"GEMET;Mapping"
36,85,"Sludge that has been aerated and subjected to bacterial action; used to speed breakdown of organism matter in raw sewage during secondary waste treatment.\n(Source: LANDY)",,,"GEMET"
39,85,"Something done voluntarily by a person, and of such a nature that certain legal consequences attach to it.",,,"GEMET;OLPC Children's Dictionary;General Dictionary"
40,85,"Species capable of adapting to changing circumstances.",,,"GEMET"
42,85,"Chemical reaction in which one or more of the double bonds or triple bonds in an unsaturated compound is converted to a single bond by the addition of other atoms or groups.",,,"GEMET"
43,85,"Additional packaging around the normal sales packaging, for example as protection against theft or for the purpose of advertising.",,,"GEMET"
44,85,"A polymer formed by the chain addition of unsaturated monomer molecules, such as olefins, with one another without the formation of a by-product, as water; examples are polyethylene, polypropylene and polystyrene.",,,"GEMET"
45,85,"A substance mixed in small quantities with another product to modify its chemical or physical state, for example to make food look visually more attractive.",,,"GEMET;Mapping"
46,85,"Substance used for sticking objects together.",,,"GEMET"
47,85,"The measurement of the amount of any chemical substance that can be safely consumed by a human being in a day. Calculations are usually based on the maximum level of a substance that can be fed to animals without producing any harmful effects. This is divided by a ""safety factor"" to allow for the differences between animals and humans and to take account of the variation in human diets.",,,"GEMET"
48,85,"The management or direction of the affairs of a public or private office, business or organization.",,,"GEMET"
49,85,"Any governmental agency or organization charged with managing and implementing regulations, laws and government policies.\n(Source: BLD)",,,"GEMET"
51,85,"An authoritative decree, sanction or order issued from an office with executive or managerial authority, without necessarily having the force of law or its equivalent.\n(Source: RHW / BLD)",,,"GEMET"
52,85,"The extent, power or territory in which an office with executive or managerial authority administers justice or declares judgments.\n(Source: RHW / BLD)",,,"GEMET"
53,85,"Body of law created by administrative agencies in the form of rules, regulations, orders and decisions to carry out regulatory powers and duties of such agencies.\n(Source: BLACK)",,,"GEMET"
56,85,"The physical or chemical bonding of molecules of gas, liquid or a dissolved substance to the external surface of a solid or the internal surface, if the material is porous, in a very thin layer.",,,"GEMET;Mapping"
57,85,"A person who is fully grown, developed or of a specified age.",,,"GEMET"
58,85,"Any instruction or training, informal or formal, which is geared to persons of mature age, regardless of previous education, and typically offered by university extension programs, employers, correspondence courses or community groups.",,,"GEMET"
59,85,"The action of drawing public attention to goods, services or events, often through paid announcements in newspapers, magazines, television or radio.\n(Source: C / RHW)",,,"GEMET;OLPC Children's Dictionary;General Dictionary"
60,85,"The creation and dissemination of paid announcements or public notices to draw attention to goods, services or events offered by some entity, usually for purchase.\n(Source: RHW)",,,"GEMET"
61,85,"Official notice, opinion, counsel or recommendation that is optional or at the receiver's discretion.",,,"GEMET"
62,85,"Exposition to the action of air.",,,"GEMET"
63,85,"An image of the ground surface made on a light-sensitive material and taken at a high altitude from an aircraft, spacecraft or rocket.\n(Source: MHD)",,,"GEMET"
65,85,"A process requiring the presence of oxygen.",,"biological science;GEMET","GEMET;Mapping"
66,85,"The study of the atmospheric dispersal of airborne fungus spores, pollen grains, and microorganisms; and, more broadly, of airborne propagules of algae and protozoans, minute insects such as aphids, and pollution gases and particles which exert specific biologic effects.",,,"GEMET"
67,85,"Acoustic noise caused by turbulent airflow over the surface of a body.",,,"GEMET"
68,85,"A gaseous suspension of ultramicroscopic particles of a liquid or a solid.\n(Source: MGH)",,,"GEMET;Mapping"
70,85,"Establishment of a new forest by seeding or planting of nonforested land.",,,"GEMET"
71,85,"The second largest of the continents, on the Mediterranean in the north, the Atlantic in the west, and the Red Sea, Gulf of Aden, and Indian Ocean in the east.",,"continent","GEMET;OLPC Children's Dictionary;Mapping;General Dictionary"
72,85,"The incineration of polluting gases and particles resulting from incompletely combusted fuel, and the breakdown of other molecules associated with combustion into inert chemicals.",,,"GEMET"
73,85,"The period of time that a person, animal or plant has lived or is expected to live.",,,"GEMET;OLPC Children's Dictionary;General Dictionary"
74,85,"The coming together in accord of two minds on a given proposition. In law, a concord of understanding and intention between two or more parties with respect to the effect upon their relative rights and duties, of certain past or future facts or performances. The consent of two or more persons concerning respecting the transmission of some property, right, or benefits, with the view of contracting an obligation, a mutual obligation.\n(Source: WESTS)",,,"GEMET"
75,85,"A convention, or promise of two or more parties, by deed in writing, signed, and delivered, by which either of the parties pledges himself to the other that something is either done, or shall be done, or shall not be done, or stipulates for the truth of certain facts.\n(Source: WESTS)",,,"GEMET"
76,85,"An advanced technology that allows plant breeders to make precise genetic changes to impart beneficial traits to crop plants.",,"GEMET","GEMET"
77,85,"The buildings and adjacent service areas of a farm.\n(Source: WEBSTE)",,"GEMET","GEMET"
78,85,"Study of the ecology of agricultural systems and the natural resources required to sustain them.",,,"GEMET"
79,85,"An applied social science that deals with the production, distribution, and consumption of agricultural or farming goods and services.",,"GEMET","GEMET"
81,85,"A discipline concerned with developing and improving the means for providing food and fiber for mankind's needs.\n(Source: MGH)",,"GEMET","GEMET"
